City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,55.18,84,6,1.99,clear sky
1,Cape Town,ZA,-33.9258,18.4232,63.37,83,41,1.86,scattered clouds
2,Abha,SA,18.2164,42.5053,70.05,49,0,0.0,clear sky
3,Pangnirtung,CA,66.1451,-65.7125,36.66,97,100,2.3,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,37.51,75,20,8.05,few clouds
5,Mugumu,TZ,-1.85,34.7,63.12,73,83,4.85,broken clouds
6,Hofn,IS,64.2539,-15.2082,49.26,82,8,8.14,clear sky
7,East London,ZA,-33.0153,27.9116,59.05,38,2,7.45,clear sky
8,Castro,BR,-24.7911,-50.0119,59.85,99,100,2.53,overcast clouds
9,Albany,US,42.6001,-73.9662,67.03,86,100,8.43,overcast clouds
10,Kiunga,PG,-6.1219,141.2906,71.31,100,46,1.81,scattered clouds
11,Tiksi,RU,71.6872,128.8694,32.25,89,100,2.15,overcast clouds
12,Jamestown,US,42.097,-79.2353,82.53,38,75,14.97,broken clouds
13,Kavaratti,IN,10.5669,72.642,82.81,76,100,17.49,overcast clouds
14,Henties Bay,NA,-22.116,14.2845,61.12,55,0,2.68,clear sky
15,Rikitea,PF,-23.1203,-134.9692,76.82,82,82,24.54,broken clouds
16,Yuzhnyy,RU,53.2542,83.6936,50.38,93,75,11.18,light intensity shower rain
17,Kawalu,ID,-7.3817,108.2082,71.58,98,28,1.63,scattered clouds
18,Ribeira Grande,PT,38.5167,-28.7,64.8,82,20,11.5,few clouds
19,Mataura,NZ,-46.1927,168.8643,52.48,87,100,4.59,light rain
20,Hualmay,PE,-11.0964,-77.6139,68.5,67,69,13.2,broken clouds
21,Kungurtug,RU,50.5994,97.5228,50.7,94,100,2.44,overcast clouds
22,Kapaa,US,22.0752,-159.319,80.58,96,100,11.5,light rain
23,Dunedin,NZ,-45.8742,170.5036,54.81,57,51,1.99,broken clouds
24,Iqaluit,CA,63.7506,-68.5145,32.99,93,99,3.33,overcast clouds
25,Carnarvon,AU,-24.8667,113.6333,62.89,55,0,11.5,clear sky
26,Asbestovskiy,RU,57.7557,61.3967,52.36,78,15,5.3,few clouds
27,Te Anau,NZ,-45.4167,167.7167,50.11,91,100,3.0,moderate rain
28,Roald,NO,62.5833,6.1333,54.75,100,100,3.44,light intensity drizzle
29,Wajir,KE,1.7471,40.0573,81.48,53,89,20.18,overcast clouds
30,Marsa Matruh,EG,31.3525,27.2453,71.98,78,0,11.27,clear sky
31,Atuona,PF,-9.8,-139.0333,77.92,79,26,11.48,scattered clouds
32,Bethel,US,41.3712,-73.414,69.64,72,100,8.05,overcast clouds
33,Tarakan,ID,3.3,117.6333,80.19,79,45,5.93,scattered clouds
34,Port Elizabeth,ZA,-33.918,25.5701,58.32,81,86,4.0,overcast clouds
35,Matay,EG,28.419,30.7792,81.41,26,0,11.16,clear sky
36,Busselton,AU,-33.65,115.3333,56.79,86,30,11.59,light rain
37,Alexandria,EG,31.2156,29.9553,73.56,76,0,11.52,clear sky
38,Alice Springs,AU,-23.7,133.8833,54.95,100,100,6.91,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,35.26,87,40,6.91,scattered clouds
40,Sakakah,SA,29.9697,40.2064,92.77,9,5,15.21,clear sky
41,Chumikan,RU,54.7183,135.315,33.01,99,100,12.19,snow
42,Pacific Grove,US,36.6177,-121.9166,81.25,76,0,11.99,clear sky
43,Fairbanks,US,64.8378,-147.7164,74.08,39,75,1.01,broken clouds
44,Avarua,CK,-21.2078,-159.775,75.25,60,40,13.8,scattered clouds
45,Bredasdorp,ZA,-34.5322,20.0403,54.61,91,100,4.56,overcast clouds
46,Tarut,SA,26.5733,50.0369,86.2,31,0,4.76,clear sky
47,Hilo,US,19.7297,-155.09,88.29,77,40,10.36,scattered clouds
48,Qaanaaq,GL,77.484,-69.3632,28.63,64,84,6.17,broken clouds
49,Verkhnevilyuysk,RU,63.4453,120.3167,45.54,97,38,1.39,scattered clouds
50,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,21,10.16,few clouds
51,Kaitangata,NZ,-46.2817,169.8464,49.28,84,89,5.35,moderate rain
52,Touba,CI,8.2833,-7.6833,78.57,67,75,4.7,broken clouds
53,Hermanus,ZA,-34.4187,19.2345,58.24,85,100,3.76,overcast clouds
54,Namibe,AO,-15.1961,12.1522,74.59,58,2,4.72,clear sky
55,Areosa,PT,41.7178,-8.8571,61.09,88,10,9.19,clear sky
56,New Norfolk,AU,-42.7826,147.0587,38.7,84,25,1.92,scattered clouds
57,College,US,64.8569,-147.8028,74.08,40,75,0.0,broken clouds
58,Howard Springs,AU,-12.497,131.047,76.91,84,51,6.87,broken clouds
59,Cayenne,GF,4.9333,-52.3333,84.24,1,100,6.91,overcast clouds
60,George,ZA,-33.963,22.4617,55.87,61,100,4.72,overcast clouds
61,Muyezerskiy,RU,63.9333,31.65,53.19,67,15,0.6,few clouds
62,Athabasca,CA,54.7169,-113.2854,63.79,37,28,4.74,scattered clouds
63,Casambalangan,PH,18.3765,122.1274,80.04,85,71,4.32,broken clouds
64,Hobart,AU,-42.8794,147.3294,39.06,89,18,8.05,few clouds
65,Butaritari,KI,3.0707,172.7902,80.47,79,100,10.6,moderate rain
66,Zhigansk,RU,66.7697,123.3711,41.02,78,100,7.18,overcast clouds
67,Jaisalmer,IN,26.9147,70.9181,90.23,34,2,20.22,clear sky
68,Chokurdakh,RU,70.6333,147.9167,35.91,87,100,11.14,light rain
69,Cidreira,BR,-30.1811,-50.2056,53.4,82,100,5.01,overcast clouds
70,Da Nang,VN,16.0678,108.2208,80.58,83,20,3.44,few clouds
71,Eau Claire,US,44.8114,-91.4985,70.92,42,0,12.66,clear sky
72,Hithadhoo,MV,-0.6,73.0833,82.24,75,87,10.31,overcast clouds
73,Saskylakh,RU,71.9167,114.0833,32.36,90,100,12.66,overcast clouds
74,Houma,US,29.5958,-90.7195,91.99,72,75,10.36,light rain
75,Evensk,RU,61.95,159.2333,43.48,67,12,2.28,few clouds
76,Geraldton,AU,-28.7667,114.6,46.81,87,47,6.91,scattered clouds
77,Ambilobe,MG,-13.2,49.05,72.09,73,85,2.06,overcast clouds
78,San Patricio,US,28.017,-97.5169,93.92,48,16,16.69,few clouds
79,San Quintin,MX,30.4833,-115.95,67.96,62,0,12.28,clear sky
80,Marawi,PH,7.9986,124.2928,69.96,94,52,3.33,broken clouds
81,Saurimo,AO,-9.6608,20.3916,61.92,43,0,5.64,clear sky
82,Longyearbyen,SJ,78.2186,15.6401,42.64,87,0,5.75,clear sky
83,Khatanga,RU,71.9667,102.5,36.84,94,81,6.06,broken clouds
84,Bluff,NZ,-46.6,168.3333,52.81,90,100,17.83,moderate rain
85,Zaymishche,RU,52.7264,32.2334,60.64,94,79,6.82,broken clouds
86,Tuatapere,NZ,-46.1333,167.6833,52.18,95,100,6.17,light rain
87,Taoudenni,ML,22.6783,-3.9836,99.91,8,0,10.54,clear sky
88,Shambu,ET,9.5667,37.1,57.43,66,93,3.31,overcast clouds
89,Williamsburg,US,37.2707,-76.7075,96.85,52,0,3.44,clear sky
90,Oktyabrskiy,RU,54.4815,53.471,55.4,76,0,2.84,clear sky
91,Sabha,LY,27.0377,14.4283,88.27,13,0,12.28,clear sky
92,Coxim,BR,-18.5067,-54.76,91.24,32,8,9.13,clear sky
93,Kiama,AU,-34.6833,150.8667,47.37,75,8,5.01,clear sky
94,Flinders,AU,-34.5833,150.8552,47.17,73,7,4.0,clear sky
95,Wildwood,US,38.5828,-90.6629,80.42,74,40,0.0,scattered clouds
96,Ahipara,NZ,-35.1667,173.1667,62.24,87,3,19.39,clear sky
97,Victoria,HK,22.2855,114.1577,82.45,87,96,7.0,overcast clouds
98,Mount Isa,AU,-20.7333,139.5,62.37,59,100,8.05,overcast clouds
99,Pangkalanbuun,ID,-2.6833,111.6167,73.76,98,10,1.9,clear sky
100,Sur,OM,22.5667,59.5289,83.5,67,2,17.05,clear sky
101,Margate,GB,51.3813,1.3862,57.31,67,1,1.01,clear sky
102,Tasiilaq,GL,65.6145,-37.6368,35.76,100,100,2.93,light rain
103,Kuraymah,SD,18.55,31.85,95.14,9,4,17.81,clear sky
104,Shache,CN,38.4167,77.2406,70.9,16,100,12.37,overcast clouds
105,Bambous Virieux,MU,-20.3428,57.7575,73.22,72,61,11.79,light rain
106,Waingapu,ID,-9.6567,120.2641,77.4,84,100,2.93,overcast clouds
107,Cherskiy,RU,68.75,161.3,59.68,46,100,12.86,overcast clouds
108,Torbay,CA,47.6666,-52.7314,42.76,96,100,14.0,light intensity drizzle
109,Dingle,PH,10.9995,122.6711,77.25,86,66,3.44,broken clouds
110,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,84,30,10.56,scattered clouds
111,Asfi,MA,32.2994,-9.2372,68.31,77,16,6.6,few clouds
112,Casa Nova,BR,-9.4167,-41.1333,83.39,47,3,16.6,clear sky
113,Mahebourg,MU,-20.4081,57.7,73.26,72,42,11.16,scattered clouds
114,Vanimo,PG,-2.6741,141.3028,75.85,90,12,6.8,few clouds
115,Kozhva,RU,65.1073,57.0459,48.51,46,84,5.1,broken clouds
116,Kruglolesskoye,RU,44.6589,42.8142,64.6,60,57,2.04,broken clouds
117,Rabo De Peixe,PT,37.8,-25.5833,65.28,86,20,11.5,few clouds
118,Norman Wells,CA,65.282,-126.8329,66.9,41,77,5.86,broken clouds
119,Madinat Sittah Uktubar,EG,29.8167,31.05,78.4,46,0,13.02,clear sky
120,Tessalit,ML,20.1986,1.0114,98.67,13,100,2.19,overcast clouds
121,Bengkulu,ID,-3.8004,102.2655,75.47,90,23,2.82,few clouds
122,Lompoc,US,34.6391,-120.4579,91.78,56,0,12.66,clear sky
123,Sao Felix Do Xingu,BR,-6.6447,-51.995,86.45,60,16,5.39,few clouds
124,Dikson,RU,73.5069,80.5464,28.9,95,100,25.05,light snow
125,Clyde River,CA,70.4692,-68.5914,34.25,96,100,3.33,overcast clouds
126,Ketchikan,US,55.3422,-131.6461,59.47,72,0,4.61,clear sky
127,Lerida,ES,41.6167,0.6167,77.68,62,0,5.75,clear sky
128,Vaini,TO,-21.2,-175.2,77.16,78,40,6.91,scattered clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,80,9.86,broken clouds
130,Thompson,CA,55.7435,-97.8558,35.76,93,100,11.5,mist
131,Muskogee,US,35.5834,-95.3336,87.15,65,75,13.8,broken clouds
132,Nikolskoye,RU,59.7035,30.7861,58.89,70,100,5.37,overcast clouds
133,Port Blair,IN,11.6667,92.75,81.57,82,100,12.41,overcast clouds
134,Kirakira,SB,-10.4544,161.9205,77.52,82,100,3.51,overcast clouds
135,Ust-Tsilma,RU,65.441,52.1498,52.02,53,29,4.27,scattered clouds
136,Kamuli,UG,0.9472,33.1197,63.45,94,61,3.53,broken clouds
137,Kununurra,AU,-15.7667,128.7333,75.18,94,95,3.44,overcast clouds
138,Phalaborwa,ZA,-23.943,31.1411,58.17,55,0,2.71,clear sky
139,Markova,UA,48.6758,24.4138,56.91,93,35,3.15,scattered clouds
140,Taltal,CL,-25.4,-70.4833,58.19,72,0,2.98,clear sky
141,Bowen,AU,-20.0167,148.2333,63.45,64,100,4.5,overcast clouds
142,Suntar,RU,62.1444,117.6319,47.26,89,74,3.24,broken clouds
