City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,38.86,56,75,4.61,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,33.91,80,100,10.36,light snow
2,Dingle,PH,10.9995,122.6711,81.23,84,99,6.62,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,58,4.0,broken clouds
4,Tasiilaq,GL,65.6145,-37.6368,42.96,85,100,3.42,overcast clouds
5,Yulara,AU,-25.2406,130.9889,63.39,32,1,14.88,clear sky
6,Cidreira,BR,-30.1811,-50.2056,56.52,93,100,17.9,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,51.3,79,60,1.01,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,74.43,74,1,12.46,clear sky
9,Barrow,US,71.2906,-156.7887,35.62,87,100,11.5,mist
10,Sabha,LY,27.0377,14.4283,81.66,30,0,14.03,clear sky
11,Udachnyy,RU,66.4167,112.4,62.46,58,100,3.67,light rain
12,Hermanus,ZA,-34.4187,19.2345,47.8,79,4,8.59,clear sky
13,Hobart,AU,-42.8794,147.3294,51.66,78,75,9.22,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,56.32,72,1,7.65,clear sky
15,Yellowknife,CA,62.456,-114.3525,57.83,75,54,3.49,broken clouds
16,Jamestown,US,42.097,-79.2353,78.39,68,100,10.36,overcast clouds
17,Namibe,AO,-15.1961,12.1522,64.4,87,1,6.89,clear sky
18,Torbay,CA,47.6666,-52.7314,60.28,69,86,5.01,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,83.77,68,80,6.96,broken clouds
20,Riviere-Du-Loup,CA,47.8304,-69.5342,64.18,70,100,12.57,overcast clouds
21,Port Elizabeth,ZA,-33.918,25.5701,55.31,80,0,4.0,clear sky
22,Arica,CL,-18.475,-70.3042,61.03,72,100,4.61,overcast clouds
23,Hithadhoo,MV,-0.6,73.0833,82.11,75,48,7.38,scattered clouds
24,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,25,5.1,scattered clouds
25,Aguimes,ES,27.9054,-15.4461,67.66,68,20,25.32,few clouds
26,Grandview,US,38.8858,-94.533,78.75,75,75,10.36,broken clouds
27,Pacific Grove,US,36.6177,-121.9166,59.22,92,78,1.99,broken clouds
28,Songea,TZ,-10.6833,35.65,60.98,69,62,3.94,broken clouds
29,Mataura,NZ,-46.1927,168.8643,42.48,96,100,9.84,light rain
30,Clyde River,CA,70.4692,-68.5914,37.63,100,100,11.5,overcast clouds
